date,bankroll,event_ret_pct,post_ts,exit_ts,n_legs,headline
2026-06-12,99.7854,-0.215,2026-06-12T13:40,2026-06-12 11:41,4,"The terms that Iran leaked out to the Fake News have NOTHING to do with the term"
2026-06-15,99.1976,-0.589,2026-06-14T20:22,2026-06-15 09:30,4,"Senator Jack Reed, a Dumocrat from R.I., lied when stating the the Deal we just "
2026-06-16,99.6372,+0.443,2026-06-15T23:17,2026-06-16 09:30,4,"Iran has agreed to never have a Nuclear Weapon! Also, the story that the U.S. is"
2026-06-17,100.3092,+0.674,2026-06-16T16:12,2026-06-16 15:55,4,"FBI stopped alleged terror plot to attack UFC 250 event with drones and snipers,"
2026-06-17,99.6850,-0.622,2026-06-17T14:01,2026-06-17 10:49,4,"I will be doing a Press Conference in 45 minutes from France. I'll then be headi"
2026-06-18,99.2799,-0.406,2026-06-18T04:29,2026-06-18 07:40,3,"The Technology the World relies on was invented in America. We all remember "Int"
2026-06-18,99.6011,+0.324,2026-06-18T12:57,2026-06-18 09:30,4,"Pope Leo commends US-Iran peace deal: https://justthenews.com/nation/religion/po"
2026-06-19,98.9550,-0.649,2026-06-18T18:01,2026-06-18 15:55,4,"The United States is committed to PEACE, and we encourage everyone in the Middle"
2026-06-22,98.6100,-0.349,2026-06-21T19:39,2026-06-22 08:54,4,"After spending Trillions of Dollars on NATO, Italy, and its Prime Minister, woul"
2026-06-23,99.1021,+0.499,2026-06-22T16:58,2026-06-22 15:55,4,"Everybody is fully aware that Iran will agree to have Major Weapons Inspections "
2026-06-23,99.0194,-0.083,2026-06-23T00:51,2026-06-23 04:06,4,"Iranian resistance leader, former national security aide praise Trump's deal wit"
2026-06-23,99.7367,+0.724,2026-06-23T11:20,2026-06-23 09:30,4,"Despite their protestations and false statements to the contrary, coupled with t"
2026-06-24,99.7367,,,,0,
2026-06-25,99.6763,-0.061,2026-06-24T02:39,2026-06-24 09:30,4,"So, I have Iran on the "ropes," ready to go down for the fall, willing to give u"
2026-06-25,98.9683,-0.710,2026-06-25T03:15,2026-06-25 06:13,4,"Wow! The Senate just changed its vote on Iran from 50-48 against, to 50-47 for. "
2026-06-26,98.9683,,,,0,
2026-06-29,99.1975,+0.232,2026-06-26T15:51,2026-06-26 15:55,4,"The Islamic Republic of Iran shot at least four One Way Attack Drones at Ships t"
2026-06-29,98.9075,-0.292,2026-06-29T11:31,2026-06-29 09:30,4,"IRAN HAS REQUESTED A MEETING. IT WILL TAKE PLACE TOMORROW IN DOHA! President DJT"
2026-06-30,98.5647,-0.347,2026-06-29T15:23,2026-06-29 15:03,1,"The Cook Lawsuit, having to do with her suitability in sitting on the Board of t"
2026-07-01,98.5647,,,,0,
2026-07-02,98.5647,,,,0,
2026-07-03,98.5647,,,,0,
2026-07-06,98.5647,,,,0,
2026-07-07,98.4961,-0.070,2026-07-07T12:21,2026-07-07 09:30,3,"Toyota is moving from Mexico to the United States (Texas!). A really big deal. T"
2026-07-08,98.4961,,,,0,
2026-07-09,96.9748,-1.545,2026-07-08T21:35,2026-07-09 04:02,4,"This is in retribution for yesterday's bombing of ships by Iran. If it happens a"
2026-07-10,96.9748,,,,0,
